Time_s,PilotEngagementRequest,SensorValid,EngagementSuccessful,FaultDetected,DisengageRequest,ResetRequest,ModeCode,Mode
0,0,1,0,0,0,0,0,OFF
0.02,0,1,0,0,0,0,0,OFF
0.04,0,1,0,0,0,0,0,OFF
0.06,0,1,0,0,0,0,0,OFF
0.08,0,1,0,0,0,0,0,OFF
0.1,0,1,0,0,0,0,0,OFF
0.12,0,1,0,0,0,0,0,OFF
0.14,0,1,0,0,0,0,0,OFF
0.16,0,1,0,0,0,0,0,OFF
0.18,0,1,0,0,0,0,0,OFF
0.2,0,1,0,0,0,0,0,OFF
0.22,0,1,0,0,0,0,0,OFF
0.24,0,1,0,0,0,0,0,OFF
0.26,0,1,0,0,0,0,0,OFF
0.28,0,1,0,0,0,0,0,OFF
0.3,0,1,0,0,0,0,0,OFF
0.32,0,1,0,0,0,0,0,OFF
0.34,0,1,0,0,0,0,0,OFF
0.36,0,1,0,0,0,0,0,OFF
0.38,0,1,0,0,0,0,0,OFF
0.4,0,1,0,0,0,0,0,OFF
0.42,0,1,0,0,0,0,0,OFF
0.44,0,1,0,0,0,0,0,OFF
0.46,0,1,0,0,0,0,0,OFF
0.48,0,1,0,0,0,0,0,OFF
0.5,1,1,0,0,0,0,1,ARMED
0.52,1,1,0,0,0,0,1,ARMED
0.54,1,1,0,0,0,0,1,ARMED
0.56,1,1,0,0,0,0,1,ARMED
0.58,1,1,0,0,0,0,1,ARMED
0.6,1,1,0,0,0,0,1,ARMED
0.62,1,1,0,0,0,0,1,ARMED
0.64,1,1,0,0,0,0,1,ARMED
0.66,1,1,0,0,0,0,1,ARMED
0.68,1,1,0,0,0,0,1,ARMED
0.7,1,1,0,0,0,0,1,ARMED
0.72,1,1,0,0,0,0,1,ARMED
0.74,1,1,0,0,0,0,1,ARMED
0.76,1,1,0,0,0,0,1,ARMED
0.78,1,1,0,0,0,0,1,ARMED
0.8,1,1,0,0,0,0,1,ARMED
0.82,1,1,0,0,0,0,1,ARMED
0.84,1,1,0,0,0,0,1,ARMED
0.86,1,1,0,0,0,0,1,ARMED
0.88,1,1,0,0,0,0,1,ARMED
0.9,1,1,0,0,0,0,1,ARMED
0.92,1,1,0,0,0,0,1,ARMED
0.94,1,1,0,0,0,0,1,ARMED
0.96,1,1,0,0,0,0,1,ARMED
0.98,1,1,0,0,0,0,1,ARMED
1,1,1,1,0,0,0,2,ENGAGED
1.02,1,1,1,0,0,0,2,ENGAGED
1.04,1,1,1,0,0,0,2,ENGAGED
1.06,1,1,1,0,0,0,2,ENGAGED
1.08,1,1,1,0,0,0,2,ENGAGED
1.1,1,1,1,0,0,0,2,ENGAGED
1.12,1,1,1,0,0,0,2,ENGAGED
1.14,1,1,1,0,0,0,2,ENGAGED
1.16,1,1,1,0,0,0,2,ENGAGED
1.18,1,1,1,0,0,0,2,ENGAGED
1.2,1,1,1,0,0,0,2,ENGAGED
1.22,1,1,1,0,0,0,2,ENGAGED
1.24,1,1,1,0,0,0,2,ENGAGED
1.26,1,1,1,0,0,0,2,ENGAGED
1.28,1,1,1,0,0,0,2,ENGAGED
1.3,1,1,1,0,0,0,2,ENGAGED
1.32,1,1,1,0,0,0,2,ENGAGED
1.34,1,1,1,0,0,0,2,ENGAGED
1.36,1,1,1,0,0,0,2,ENGAGED
1.38,1,1,1,0,0,0,2,ENGAGED
1.4,1,1,1,0,0,0,2,ENGAGED
1.42,1,1,1,0,0,0,2,ENGAGED
1.44,1,1,1,0,0,0,2,ENGAGED
1.46,1,1,1,0,0,0,2,ENGAGED
1.48,1,1,1,0,0,0,2,ENGAGED
1.5,1,1,1,0,0,0,2,ENGAGED
1.52,1,1,1,0,0,0,2,ENGAGED
1.54,1,1,1,0,0,0,2,ENGAGED
1.56,1,1,1,0,0,0,2,ENGAGED
1.58,1,1,1,0,0,0,2,ENGAGED
1.6,1,1,1,0,0,0,2,ENGAGED
1.62,1,1,1,0,0,0,2,ENGAGED
1.64,1,1,1,0,0,0,2,ENGAGED
1.66,1,1,1,0,0,0,2,ENGAGED
1.68,1,1,1,0,0,0,2,ENGAGED
1.7,1,1,1,0,0,0,2,ENGAGED
1.72,1,1,1,0,0,0,2,ENGAGED
1.74,1,1,1,0,0,0,2,ENGAGED
1.76,1,1,1,0,0,0,2,ENGAGED
1.78,1,1,1,0,0,0,2,ENGAGED
1.8,1,1,1,0,0,0,2,ENGAGED
1.82,1,1,1,0,0,0,2,ENGAGED
1.84,1,1,1,0,0,0,2,ENGAGED
1.86,1,1,1,0,0,0,2,ENGAGED
1.88,1,1,1,0,0,0,2,ENGAGED
1.9,1,1,1,0,0,0,2,ENGAGED
1.92,1,1,1,0,0,0,2,ENGAGED
1.94,1,1,1,0,0,0,2,ENGAGED
1.96,1,1,1,0,0,0,2,ENGAGED
1.98,1,1,1,0,0,0,2,ENGAGED
2,1,1,1,0,0,0,2,ENGAGED
2.02,1,1,1,0,0,0,2,ENGAGED
2.04,1,1,1,0,0,0,2,ENGAGED
2.06,1,1,1,0,0,0,2,ENGAGED
2.08,1,1,1,0,0,0,2,ENGAGED
2.1,1,1,1,0,0,0,2,ENGAGED
2.12,1,1,1,0,0,0,2,ENGAGED
2.14,1,1,1,0,0,0,2,ENGAGED
2.16,1,1,1,0,0,0,2,ENGAGED
2.18,1,1,1,0,0,0,2,ENGAGED
2.2,1,1,1,0,0,0,2,ENGAGED
2.22,1,1,1,0,0,0,2,ENGAGED
2.24,1,1,1,0,0,0,2,ENGAGED
2.26,1,1,1,0,0,0,2,ENGAGED
2.28,1,1,1,0,0,0,2,ENGAGED
2.3,1,1,1,0,0,0,2,ENGAGED
2.32,1,1,1,0,0,0,2,ENGAGED
2.34,1,1,1,0,0,0,2,ENGAGED
2.36,1,1,1,0,0,0,2,ENGAGED
2.38,1,1,1,0,0,0,2,ENGAGED
2.4,1,1,1,0,0,0,2,ENGAGED
2.42,1,1,1,0,0,0,2,ENGAGED
2.44,1,1,1,0,0,0,2,ENGAGED
2.46,1,1,1,0,0,0,2,ENGAGED
2.48,1,1,1,0,0,0,2,ENGAGED
2.5,1,1,1,0,0,0,2,ENGAGED
2.52,1,1,1,0,0,0,2,ENGAGED
2.54,1,1,1,0,0,0,2,ENGAGED
2.56,1,1,1,0,0,0,2,ENGAGED
2.58,1,1,1,0,0,0,2,ENGAGED
2.6,1,1,1,0,0,0,2,ENGAGED
2.62,1,1,1,0,0,0,2,ENGAGED
2.64,1,1,1,0,0,0,2,ENGAGED
2.66,1,1,1,0,0,0,2,ENGAGED
2.68,1,1,1,0,0,0,2,ENGAGED
2.7,1,1,1,0,0,0,2,ENGAGED
2.72,1,1,1,0,0,0,2,ENGAGED
2.74,1,1,1,0,0,0,2,ENGAGED
2.76,1,1,1,0,0,0,2,ENGAGED
2.78,1,1,1,0,0,0,2,ENGAGED
2.8,1,1,1,0,0,0,2,ENGAGED
2.82,1,1,1,0,0,0,2,ENGAGED
2.84,1,1,1,0,0,0,2,ENGAGED
2.86,1,1,1,0,0,0,2,ENGAGED
2.88,1,1,1,0,0,0,2,ENGAGED
2.9,1,1,1,0,0,0,2,ENGAGED
2.92,1,1,1,0,0,0,2,ENGAGED
2.94,1,1,1,0,0,0,2,ENGAGED
2.96,1,1,1,0,0,0,2,ENGAGED
2.98,1,1,1,0,0,0,2,ENGAGED
3,1,1,1,0,0,0,2,ENGAGED
3.02,1,1,1,0,0,0,2,ENGAGED
3.04,1,1,1,0,0,0,2,ENGAGED
3.06,1,1,1,0,0,0,2,ENGAGED
3.08,1,1,1,0,0,0,2,ENGAGED
3.1,1,1,1,0,0,0,2,ENGAGED
3.12,1,1,1,0,0,0,2,ENGAGED
3.14,1,1,1,0,0,0,2,ENGAGED
3.16,1,1,1,0,0,0,2,ENGAGED
3.18,1,1,1,0,0,0,2,ENGAGED
3.2,1,1,1,0,0,0,2,ENGAGED
3.22,1,1,1,0,0,0,2,ENGAGED
3.24,1,1,1,0,0,0,2,ENGAGED
3.26,1,1,1,0,0,0,2,ENGAGED
3.28,1,1,1,0,0,0,2,ENGAGED
3.3,1,1,1,0,0,0,2,ENGAGED
3.32,1,1,1,0,0,0,2,ENGAGED
3.34,1,1,1,0,0,0,2,ENGAGED
3.36,1,1,1,0,0,0,2,ENGAGED
3.38,1,1,1,0,0,0,2,ENGAGED
3.4,1,1,1,0,0,0,2,ENGAGED
3.42,1,1,1,0,0,0,2,ENGAGED
3.44,1,1,1,0,0,0,2,ENGAGED
3.46,1,1,1,0,0,0,2,ENGAGED
3.48,1,1,1,0,0,0,2,ENGAGED
3.5,1,0,0,1,0,0,3,DEGRADED
3.52,1,0,0,1,0,0,3,DEGRADED
3.54,1,0,0,1,0,0,3,DEGRADED
3.56,1,0,0,1,0,0,3,DEGRADED
3.58,1,0,0,1,0,0,3,DEGRADED
3.6,1,0,0,1,0,0,3,DEGRADED
3.62,1,0,0,1,0,0,3,DEGRADED
3.64,1,0,0,1,0,0,3,DEGRADED
3.66,1,0,0,1,0,0,3,DEGRADED
3.68,1,0,0,1,0,0,3,DEGRADED
3.7,1,0,0,1,0,0,3,DEGRADED
3.72,1,0,0,1,0,0,3,DEGRADED
3.74,1,0,0,1,0,0,3,DEGRADED
3.76,1,0,0,1,0,0,3,DEGRADED
3.78,1,0,0,1,0,0,3,DEGRADED
3.8,1,0,0,1,0,0,3,DEGRADED
3.82,1,0,0,1,0,0,3,DEGRADED
3.84,1,0,0,1,0,0,3,DEGRADED
3.86,1,0,0,1,0,0,3,DEGRADED
3.88,1,0,0,1,0,0,3,DEGRADED
3.9,1,0,0,1,0,0,3,DEGRADED
3.92,1,0,0,1,0,0,3,DEGRADED
3.94,1,0,0,1,0,0,3,DEGRADED
3.96,1,0,0,1,0,0,3,DEGRADED
3.98,1,0,0,1,0,0,3,DEGRADED
4,1,0,0,1,0,0,3,DEGRADED
4.02,1,0,0,1,0,0,3,DEGRADED
4.04,1,0,0,1,0,0,3,DEGRADED
4.06,1,0,0,1,0,0,3,DEGRADED
4.08,1,0,0,1,0,0,3,DEGRADED
4.1,1,0,0,1,0,0,3,DEGRADED
4.12,1,0,0,1,0,0,3,DEGRADED
4.14,1,0,0,1,0,0,3,DEGRADED
4.16,1,0,0,1,0,0,3,DEGRADED
4.18,1,0,0,1,0,0,3,DEGRADED
4.2,1,0,0,1,0,0,3,DEGRADED
4.22,1,0,0,1,0,0,3,DEGRADED
4.24,1,0,0,1,0,0,3,DEGRADED
4.26,1,0,0,1,0,0,3,DEGRADED
4.28,1,0,0,1,0,0,3,DEGRADED
4.3,1,0,0,1,0,0,3,DEGRADED
4.32,1,0,0,1,0,0,3,DEGRADED
4.34,1,0,0,1,0,0,3,DEGRADED
4.36,1,0,0,1,0,0,3,DEGRADED
4.38,1,0,0,1,0,0,3,DEGRADED
4.4,1,0,0,1,0,0,3,DEGRADED
4.42,1,0,0,1,0,0,3,DEGRADED
4.44,1,0,0,1,0,0,3,DEGRADED
4.46,1,0,0,1,0,0,3,DEGRADED
4.48,1,0,0,1,0,0,3,DEGRADED
4.5,1,1,0,0,1,1,0,OFF
4.52,1,1,0,0,1,1,0,OFF
4.54,1,1,0,0,1,1,0,OFF
4.56,1,1,0,0,1,1,1,ARMED
4.58,1,1,0,0,1,1,0,OFF
4.6,1,1,0,0,1,1,0,OFF
4.62,1,1,0,0,1,1,0,OFF
4.64,1,1,0,0,1,1,1,ARMED
4.66,1,1,0,0,1,1,0,OFF
4.68,1,1,0,0,1,1,1,ARMED
4.7,1,1,0,0,0,0,1,ARMED
4.72,1,1,0,0,0,0,1,ARMED
4.74,1,1,0,0,0,0,1,ARMED
4.76,1,1,0,0,0,0,1,ARMED
4.78,1,1,0,0,0,0,1,ARMED
4.8,1,1,0,0,0,0,1,ARMED
4.82,1,1,0,0,0,0,1,ARMED
4.84,1,1,0,0,0,0,1,ARMED
4.86,1,1,0,0,0,0,1,ARMED
4.88,1,1,0,0,0,0,1,ARMED
4.9,1,1,0,0,0,0,1,ARMED
4.92,1,1,0,0,0,0,1,ARMED
4.94,1,1,0,0,0,0,1,ARMED
4.96,1,1,0,0,0,0,1,ARMED
4.98,1,1,0,0,0,0,1,ARMED
5,0,1,0,0,0,0,1,ARMED
5.02,0,1,0,0,0,0,1,ARMED
5.04,0,1,0,0,0,0,1,ARMED
5.06,0,1,0,0,0,0,1,ARMED
5.08,0,1,0,0,0,0,1,ARMED
5.1,0,1,0,0,0,0,1,ARMED
5.12,0,1,0,0,0,0,1,ARMED
5.14,0,1,0,0,0,0,1,ARMED
5.16,0,1,0,0,0,0,1,ARMED
5.18,0,1,0,0,0,0,1,ARMED
5.2,0,1,0,0,0,0,1,ARMED
5.22,0,1,0,0,0,0,1,ARMED
5.24,0,1,0,0,0,0,1,ARMED
5.26,0,1,0,0,0,0,1,ARMED
5.28,0,1,0,0,0,0,1,ARMED
5.3,0,1,0,0,0,0,1,ARMED
5.32,0,1,0,0,0,0,1,ARMED
5.34,0,1,0,0,0,0,1,ARMED
5.36,0,1,0,0,0,0,1,ARMED
5.38,0,1,0,0,0,0,1,ARMED
5.4,0,1,0,0,0,0,1,ARMED
5.42,0,1,0,0,0,0,1,ARMED
5.44,0,1,0,0,0,0,1,ARMED
5.46,0,1,0,0,0,0,1,ARMED
5.48,0,1,0,0,0,0,1,ARMED
5.5,0,1,0,0,0,0,1,ARMED
5.52,0,1,0,0,0,0,1,ARMED
5.54,0,1,0,0,0,0,1,ARMED
5.56,0,1,0,0,0,0,1,ARMED
5.58,0,1,0,0,0,0,1,ARMED
5.6,0,1,0,0,0,0,1,ARMED
5.62,0,1,0,0,0,0,1,ARMED
5.64,0,1,0,0,0,0,1,ARMED
5.66,0,1,0,0,0,0,1,ARMED
5.68,0,1,0,0,0,0,1,ARMED
5.7,0,1,0,0,0,0,1,ARMED
5.72,0,1,0,0,0,0,1,ARMED
5.74,0,1,0,0,0,0,1,ARMED
5.76,0,1,0,0,0,0,1,ARMED
5.78,0,1,0,0,0,0,1,ARMED
5.8,0,1,0,0,0,0,1,ARMED
5.82,0,1,0,0,0,0,1,ARMED
5.84,0,1,0,0,0,0,1,ARMED
5.86,0,1,0,0,0,0,1,ARMED
5.88,0,1,0,0,0,0,1,ARMED
5.9,0,1,0,0,0,0,1,ARMED
5.92,0,1,0,0,0,0,1,ARMED
5.94,0,1,0,0,0,0,1,ARMED
5.96,0,1,0,0,0,0,1,ARMED
5.98,0,1,0,0,0,0,1,ARMED
6,0,1,0,0,0,0,1,ARMED
