Entry,Class,ControlledValue
FlightControlBus,Simulink.Bus,"Bus with 5 elements"
Sample_time,Simulink.Parameter,"Parameter = 0.02 s, type double"
Ts,Simulink.Parameter,"Parameter = 0.02 s, type double"
actuator_command_signal,Simulink.Signal,"Simulink.Signal"
actuator_filter_alpha,Simulink.Parameter,"Parameter = 0.89483931681437 1, type double"
actuator_gain,Simulink.Parameter,"Parameter = 1 1, type double"
actuator_limit_deg,Simulink.Parameter,"Parameter = 20 deg, type double"
actuator_tau_s,Simulink.Parameter,"Parameter = 0.18 s, type double"
aircraft_control_effectiveness,Simulink.Parameter,"Parameter = 0.8 1/s, type double"
aircraft_pitch_damping,Simulink.Parameter,"Parameter = 1.2 1/s, type double"
aircraft_q_gain,Simulink.Parameter,"Parameter = 1.4 1/s, type double"
aircraft_q_tau_s,Simulink.Parameter,"Parameter = 0.65 s, type double"
control_error_signal,Simulink.Signal,"Simulink.Signal"
controller_integrator_ic,Simulink.Parameter,"Parameter = 0 deg/s, type double"
disturbance_gain,Simulink.Parameter,"Parameter = 0.35 1, type double"
initial_actuator_command,Simulink.Parameter,"Parameter = 0 deg, type double"
initial_pitch_angle,Simulink.Parameter,"Parameter = 0 deg, type double"
initial_q_rate,Simulink.Parameter,"Parameter = 0 deg/s, type double"
initial_sensor_q_rate,Simulink.Parameter,"Parameter = 0 deg/s, type double"
mode_default,Simulink.Parameter,"Parameter = 0 1, type uint8"
normal_mode_code,Simulink.Parameter,"Parameter = 2 1, type uint8"
pitch_Ki,Simulink.Parameter,"Parameter = 0.025 1/s, type double"
pitch_Kp,Simulink.Parameter,"Parameter = 0.6 1, type double"
pitch_rate_Ki,Simulink.Parameter,"Parameter = 0.2 1, type double"
pitch_rate_Kp,Simulink.Parameter,"Parameter = 0.3 s, type double"
q_cmd_in_signal,Simulink.Signal,"Simulink.Signal"
q_cmd_out_signal,Simulink.Signal,"Simulink.Signal"
q_fallback_command,Simulink.Parameter,"Parameter = 0 deg/s, type double"
q_limit_normal,Simulink.Parameter,"Parameter = 12 deg/s, type double"
sensor_filter_alpha,Simulink.Parameter,"Parameter = 0.778800783071405 1, type double"
sensor_tau_s,Simulink.Parameter,"Parameter = 0.08 s, type double"
