TestSuite,Suite,TestCase,Iteration,AssociatedRequirement,Time_s,Input_q_cmd_deg_s,NormalMode,InputValid,Expected_q_cmd_deg_s,Actual_q_cmd_deg_s,NumericError_deg_s,Tolerance_deg_s,ExpectedLimiterActive,ActualLimiterActive,NumericPass,LimiterActivePass,TimestampPass,Timing50HzPass,Passed
Pitch Rate Limiter MATLAB Suite,Initialization,Initialization,1,PRL-005 deterministic initialization; PRL-004 50 Hz execution,0,0,1,1,0,0,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Boundary Values,Boundary below lower limit,2,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.02,-12.1,1,1,-12,-12,0,1e-09,1,1,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Boundary Values,Inclusive lower boundary,3,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.04,-12,1,1,-12,-12,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Nominal Values,Nominal negative command,4,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.06,-5.75,1,1,-5.75,-5.75,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Nominal Values,Nominal zero command,5,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.08,0,1,1,0,0,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Nominal Values,Nominal positive command,6,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.1,7.25,1,1,7.25,7.25,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Boundary Values,Inclusive upper boundary,7,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.12,12,1,1,12,12,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Boundary Values,Boundary above upper limit,8,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.14,12.1,1,1,12,12,0,1e-09,1,1,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Large Magnitudes,Large positive command,9,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.16,1000,1,1,12,12,0,1e-09,1,1,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Large Magnitudes,Large negative command,10,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.18,-1000,1,1,-12,-12,0,1e-09,1,1,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Fallback Behavior,Invalid input fallback,11,PRL-002 deterministic fallback; PRL-003 status; PRL-004 50 Hz execution,0.2,8,1,0,0,0,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Fallback Behavior,Normal mode false fallback,12,PRL-002 deterministic fallback; PRL-003 status; PRL-004 50 Hz execution,0.22,-8,0,1,0,0,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Mode Transitions,Mode transition - disabled,13,PRL-002 mode/validity transitions; PRL-003 status; PRL-004 50 Hz execution,0.24,4,0,1,0,0,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Mode Transitions,Mode transition - enabled,14,PRL-002 mode/validity transitions; PRL-003 status; PRL-004 50 Hz execution,0.26,4,1,1,4,4,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Mode Transitions,Validity transition - invalid,15,PRL-002 mode/validity transitions; PRL-003 status; PRL-004 50 Hz execution,0.28,6,1,0,0,0,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Mode Transitions,Validity transition - valid,16,PRL-002 mode/validity transitions; PRL-003 status; PRL-004 50 Hz execution,0.3,6,1,1,6,6,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Mode Transitions,Limiter active after recovery,17,PRL-002 mode/validity transitions; PRL-003 status; PRL-004 50 Hz execution,0.32,13,1,1,12,12,0,1e-09,1,1,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Fallback Behavior,Both validity conditions false,18,PRL-002 deterministic fallback; PRL-003 status; PRL-004 50 Hz execution,0.34,-9,0,0,0,0,0,1e-09,0,0,1,1,1,1,1
Pitch Rate Limiter MATLAB Suite,Nominal Values,Final nominal command,19,PRL-001 magnitude limiting; PRL-003 status; PRL-004 50 Hz execution,0.36,2.5,1,1,2.5,2.5,0,1e-09,0,0,1,1,1,1,1
