File,Category,Source,Authenticity,Disclaimer
PitchRateLimiter_Model.png,Simulink diagram,PitchRateLimiter,"Direct export from generated Simulink model",Illustrative training artifact; not production or certification approval.
PitchRateLimiter_Implementation.png,Simulink diagram,PitchRateLimiter/Pitch Rate Limiter Logic,"Direct export from generated Simulink model",Illustrative training artifact; not production or certification approval.
AircraftFeedbackControlLoop_Model.png,Simulink diagram,AircraftFeedbackControlLoop,"Direct export from generated Simulink model",Illustrative training artifact; not production or certification approval.
AircraftFeedback_PitchController.png,Simulink diagram,AircraftFeedbackControlLoop/Pitch Controller PI,"Direct export from generated Simulink model",Illustrative training artifact; not production or certification approval.
AutopilotModeLogic_Stateflow.png,Simulink diagram,AutopilotModeLogic/Autopilot Mode Logic,"Direct export from generated Simulink model",Illustrative training artifact; not production or certification approval.
ReferencedFlightControlArchitecture_Model.png,Simulink diagram,ReferencedFlightControlArchitecture,"Direct export from generated Simulink model",Illustrative training artifact; not production or certification approval.
PitchRateLimiter_Harness.png,Simulink diagram,PitchRateLimiter_Harness,"Direct export from generated Simulink model",Illustrative training artifact; not production or certification approval.
FCS_DataDictionary_and_FlightControlBus.png,Controlled data,data/FCS_Data.sldd,"Rendered from actual dictionary entries and FlightControlBus elements",Illustrative training artifact; not production or certification approval.
PitchRateLimiter_ExecutedTestResults.png,Test results,reports/PitchRateLimiter_TestReport.png,"Framed copy of executed harness result plot",Illustrative training artifact; not production or certification approval.
PitchRateLimiter_MATLABTestHierarchy.png,Test organization,results/PitchRateLimiter_TestResults.csv,"Actual MATLAB-suite hierarchy; Simulink Test unavailable, therefore no .mldatx is represented",Illustrative training artifact; not production or certification approval.
AircraftFeedback_CommandTracking_Results.png,Simulation results,results/AircraftFeedback_CommandTracking.png,"Framed copy of executed command-tracking result plot",Illustrative training artifact; not production or certification approval.
AutopilotModeSequence_Results.png,Simulation results,results/AutopilotModeSequence.png,"Framed copy of executed mode-sequence plot",Illustrative training artifact; not production or certification approval.
CallbackCode.png,Callback example,scripts\callback_workflow_example.m; scripts\cleanup_training_environment.m; scripts\training_callback_cleanup.m; scripts\training_callback_postload.m; scripts\training_callback_preload.m; scripts\training_callback_setup.m,"Rendered from the actual reviewed external callback functions",Illustrative training artifact; not production or certification approval.
CallbackWorkflow.png,Callback workflow,scripts\callback_workflow_example.m; scripts\cleanup_training_environment.m; scripts\training_callback_cleanup.m; scripts\training_callback_postload.m; scripts\training_callback_preload.m; scripts\training_callback_setup.m,"Workflow labels derived from the actual callback function files",Illustrative training artifact; not production or certification approval.
TrainingEvidenceSummary.png,Evidence summary,results/*.csv,"Counts and statuses read from executed test and validation result files",Illustrative training artifact; not production or certification approval.
pitch_rate_limiter.png,Presentation alias,PitchRateLimiter_Model.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
pitch_rate_limiter_logic.png,Presentation alias,PitchRateLimiter_Implementation.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
aircraft_feedback_loop.png,Presentation alias,AircraftFeedbackControlLoop_Model.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
pitch_controller_subsystem.png,Presentation alias,AircraftFeedback_PitchController.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
autopilot_mode_logic.png,Presentation alias,AutopilotModeLogic_Stateflow.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
referenced_architecture.png,Presentation alias,ReferencedFlightControlArchitecture_Model.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
data_dictionary_bus.png,Presentation alias,FCS_DataDictionary_and_FlightControlBus.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
pitch_rate_limiter_harness.png,Presentation alias,PitchRateLimiter_Harness.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
pitch_rate_limiter_test_results.png,Presentation alias,PitchRateLimiter_ExecutedTestResults.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
pitch_rate_limiter_test_report.png,Presentation alias,PitchRateLimiter_MATLABTestHierarchy.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
command_tracking_plot.png,Presentation alias,AircraftFeedback_CommandTracking_Results.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
callback_workflow.png,Presentation alias,CallbackWorkflow.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
evidence_chain_summary.png,Presentation alias,TrainingEvidenceSummary.png,"Byte-for-byte copy of the authentic exported artifact",Illustrative training artifact; not production or certification approval.
